Temperature,Humidity,Wind Speed,Pressure,PM2.5,PM10,NO2,SO2,CO,O3,AQI
17.88,84.37,6.91,1008.54,203.75,164.38,91.36,22.12,4.58,14.92,153.94
22.28,49.29,2.77,1010.99,59.55,94.76,97.11,29.98,3.71,176.86,62.41
25.55,58.59,7.7,1016.68,180.76,200.18,21.5,9.06,4.18,116.22,160.65
19.25,43.56,7.72,1023.4,236.11,196.07,26.19,38.74,3.78,95.12,216.25
26.88,68.43,3.47,993.45,134.3,70.75,54.93,37.72,3.23,75.23,107.98
22.0,88.74,4.4,1009.31,137.31,18.82,13.67,45.36,2.25,101.69,91.06
23.54,66.21,2.49,1015.14,117.95,135.75,46.46,2.41,4.53,74.62,123.72
21.99,51.47,9.78,1003.82,84.84,175.16,60.27,12.4,3.32,71.18,129.65
34.26,68.87,6.63,1030.31,121.54,264.22,54.6,41.7,2.11,88.87,146.54
24.93,37.38,9.38,1006.65,152.69,279.18,36.44,34.19,0.6,56.92,178.72
19.71,83.32,3.38,1012.59,246.57,163.35,56.53,44.93,1.6,40.61,173.32
29.11,60.19,7.93,1018.56,234.75,228.6,96.09,4.74,2.81,104.62,236.07
18.9,56.96,7.78,1007.09,216.23,137.4,24.57,30.65,1.52,153.27,148.95
26.04,65.15,7.07,994.53,222.84,226.36,67.21,29.31,1.26,35.98,178.78
15.2,67.49,9.67,1008.71,119.62,69.39,9.12,3.71,2.73,15.56,98.48
18.36,34.31,4.24,1023.29,166.07,117.61,11.31,26.65,1.02,51.96,126.06
25.98,70.96,1.74,1009.63,224.29,193.93,57.42,31.26,4.04,176.55,198.19
28.69,44.52,6.88,1004.54,101.27,15.27,14.97,11.18,2.52,150.89,71.27
25.86,72.84,7.43,1022.26,240.63,219.51,7.12,15.12,2.95,111.3,182.37
24.42,79.35,5.96,1009.69,106.87,252.31,21.29,32.74,0.91,167.97,163.17
23.49,78.24,2.46,1007.9,152.27,125.75,58.66,24.48,1.76,85.7,141.34
17.61,63.15,5.29,1014.49,178.9,139.9,71.82,43.18,2.17,177.16,171.2
21.4,61.21,3.47,1020.71,237.9,256.87,24.24,18.43,4.08,60.37,204.88
22.7,38.57,4.56,1036.82,64.93,234.94,68.48,14.8,3.9,50.85,129.49
30.29,76.52,6.63,1021.27,187.8,93.56,22.34,49.27,1.27,118.47,135.81
26.72,46.28,7.58,1024.6,132.6,103.95,63.28,45.73,3.16,74.29,133.98
16.18,59.8,2.71,1007.94,70.8,206.87,44.14,3.39,1.37,116.48,125.88
26.62,47.06,4.35,1002.74,195.27,173.33,67.11,38.99,4.94,61.85,177.26
23.07,38.03,3.06,1013.62,140.29,57.05,99.53,7.3,4.77,115.05,91.42
21.62,67.77,2.39,1014.07,166.94,99.88,94.09,3.32,2.9,56.88,159.55
28.06,33.26,7.94,1002.21,84.11,271.0,5.41,15.14,3.55,18.67,144.03
30.15,74.92,9.14,1011.25,122.91,209.57,89.12,14.93,4.05,165.06,140.3
29.66,49.06,4.02,1016.99,156.25,295.93,11.32,41.33,3.66,160.14,190.39
20.8,30.01,7.64,1016.6,104.2,232.43,95.54,36.11,3.56,175.04,124.7
23.45,60.67,9.02,1018.04,53.6,283.17,31.77,49.12,4.8,131.81,150.26
26.66,32.81,8.54,1015.91,240.6,72.69,41.29,36.15,3.06,126.06,137.69
29.88,46.57,2.24,1007.93,130.31,233.73,13.71,22.08,3.25,105.03,146.3
22.6,72.42,9.58,1007.86,184.81,15.86,15.67,35.55,4.28,31.41,117.63
24.07,33.76,4.08,1001.01,105.71,204.52,74.04,49.97,3.42,42.17,150.78
19.47,80.36,3.72,1030.85,92.01,146.09,94.71,36.09,3.72,59.21,115.04
19.02,30.23,1.09,1013.13,104.76,110.56,63.02,38.56,1.32,161.33,110.5
29.06,44.81,5.12,1010.75,105.25,260.1,73.01,47.04,1.98,39.4,146.62
31.78,74.45,1.54,1003.71,138.32,257.74,77.39,7.46,0.91,166.89,160.17
24.64,48.98,2.86,1042.36,138.15,16.47,29.97,35.83,2.63,98.87,89.95
30.02,36.11,3.51,1002.27,126.8,186.76,9.3,42.84,2.39,131.65,129.46
26.81,51.61,8.18,1008.71,38.02,116.67,5.18,47.81,4.99,28.74,47.16
21.77,46.22,8.82,1017.16,126.54,130.54,38.31,12.13,3.13,55.74,105.86
26.81,80.56,3.37,1019.0,46.43,251.29,27.94,26.19,3.97,172.95,121.76
32.69,48.8,8.66,1022.58,35.9,99.85,10.92,34.67,1.8,55.25,53.51
24.82,77.34,8.64,1031.08,233.5,283.48,22.06,13.88,4.19,60.41,216.14
32.82,83.51,7.76,1018.06,153.21,62.09,16.83,30.82,3.15,43.59,103.94
11.9,56.03,1.89,1002.44,166.58,202.19,91.91,14.36,3.55,31.94,152.18
29.11,84.6,7.06,1010.43,103.44,204.91,18.33,18.01,1.61,49.65,114.36
25.44,52.64,9.48,1016.08,227.7,83.14,56.08,23.19,2.83,119.2,151.84
23.5,87.84,6.98,1033.68,161.29,104.18,61.35,27.4,3.24,87.41,130.96
25.46,35.36,3.65,999.02,193.45,252.09,56.63,23.57,3.03,104.14,196.26
15.06,71.22,5.26,1025.03,95.3,230.92,14.41,25.67,4.59,30.8,131.34
23.9,59.63,6.63,1014.8,240.2,105.44,35.29,16.33,4.51,146.36,157.1
26.79,53.26,5.35,1021.38,206.01,164.85,9.87,9.63,4.86,143.3,150.41
32.39,67.96,1.64,1011.98,214.22,27.89,42.59,4.27,3.4,13.67,169.39
22.41,72.23,3.46,1004.58,47.19,70.54,22.92,11.41,4.87,75.2,46.77
20.96,30.26,8.12,1020.51,71.39,150.89,58.36,29.93,4.2,21.69,93.53
22.49,40.02,8.68,1019.54,74.98,34.93,70.82,39.73,1.5,144.66,72.19
29.58,72.78,1.8,1022.72,71.37,254.57,55.55,10.12,2.25,135.34,132.99
26.64,69.98,9.55,1012.87,214.57,218.22,46.25,7.21,1.34,163.34,192.85
22.35,87.96,3.62,1007.0,12.81,283.65,41.8,37.97,0.22,50.19,92.6
27.57,75.66,6.79,997.41,23.64,211.11,84.96,16.65,1.1,87.57,93.12
25.49,87.05,7.64,1021.19,72.11,282.72,25.84,47.67,0.22,41.36,128.24
29.84,72.15,8.21,1017.24,53.97,170.81,74.75,36.29,3.66,73.11,95.26
21.49,47.88,9.48,1003.34,61.81,184.06,76.96,17.68,2.24,98.78,107.09
23.36,36.32,3.47,1007.61,200.5,293.32,44.82,15.9,1.7,19.07,214.83
23.04,76.91,8.66,1008.33,142.97,196.22,33.24,27.14,3.86,131.53,148.9
17.68,68.65,1.75,998.17,6.41,18.93,49.7,5.8,4.2,102.36,28.55
26.48,32.89,7.2,1004.82,110.18,219.9,13.86,7.65,4.88,150.92,156.52
26.31,51.6,7.55,1001.66,104.93,272.59,9.36,10.44,3.28,56.2,161.09
25.03,87.41,6.94,1008.88,32.92,240.72,15.6,39.19,2.42,163.56,126.47
23.83,60.02,2.9,1005.61,170.65,179.31,22.78,26.67,1.67,179.78,124.98
17.92,55.96,8.79,996.73,177.01,204.68,52.9,2.51,1.27,166.28,176.03
22.9,57.46,2.1,1033.23,181.62,297.16,85.67,34.33,1.22,142.24,205.77
23.29,42.53,1.01,1025.53,183.48,36.29,27.39,22.34,2.16,148.1,102.65
20.99,52.12,7.32,1005.21,5.01,203.5,93.84,26.52,4.96,107.54,95.07
24.19,52.19,5.02,1015.72,238.71,92.19,95.72,12.28,0.2,42.33,174.42
27.02,33.14,8.57,1017.17,204.48,195.63,96.1,28.49,1.15,125.1,165.47
34.43,76.05,4.14,1024.91,226.48,186.21,84.57,49.0,1.1,131.17,192.58
25.87,54.99,2.1,1004.81,8.83,54.5,39.56,5.53,3.64,177.52,52.55
26.29,79.33,8.45,1023.92,233.8,69.96,11.9,15.63,1.89,102.02,131.51
24.63,81.02,5.71,1007.52,203.4,190.27,59.04,13.66,2.39,56.13,171.54
15.41,42.72,2.3,999.64,210.12,47.19,58.07,13.93,0.91,126.22,135.5
24.87,69.44,7.34,1020.24,27.86,86.9,85.75,20.18,2.14,176.49,47.6
25.3,58.34,5.36,1025.91,186.0,252.22,99.62,41.27,0.7,40.13,170.39
37.32,82.81,6.24,1038.88,240.18,104.86,53.27,45.82,2.76,65.42,166.72
24.04,42.94,4.88,1001.0,171.24,151.54,37.79,11.71,0.67,102.12,151.53
26.51,70.67,8.37,1019.99,144.79,282.93,22.66,28.06,3.99,38.94,183.36
24.83,66.47,8.38,1008.9,236.68,75.87,5.46,32.57,2.92,13.78,139.39
19.16,47.72,7.24,1020.83,113.52,122.99,53.37,27.05,3.68,67.29,122.5
30.71,38.2,1.5,998.3,151.83,185.87,57.77,22.84,2.21,157.11,135.82
28.76,69.1,8.47,1000.37,121.7,229.05,83.37,11.21,2.03,17.39,120.75
28.96,74.32,6.87,1005.24,233.55,271.48,52.93,25.43,0.67,82.92,202.95
20.45,48.94,7.12,1013.79,23.64,275.49,92.06,21.26,2.71,139.57,132.52
32.01,68.69,3.95,1006.59,127.77,235.23,64.67,40.19,2.67,172.04,164.22
17.99,53.71,8.85,1019.59,173.3,76.22,84.83,38.65,2.45,177.53,130.8
27.93,72.79,7.39,1023.27,199.02,17.19,19.09,8.43,3.75,81.73,113.65
35.95,41.95,1.57,1019.0,147.84,121.29,86.26,6.25,4.2,171.57,129.42
20.05,83.41,4.37,1029.19,227.68,51.05,69.14,45.59,3.8,16.02,151.71
22.17,47.24,8.92,1017.16,235.79,216.01,21.17,27.7,0.89,136.81,175.58
25.5,52.07,0.95,1000.83,20.76,201.73,23.03,43.17,3.19,119.27,82.08
22.48,33.49,9.63,1026.63,103.58,22.75,93.02,4.79,0.59,52.42,67.73
17.25,36.69,6.95,1006.95,10.75,252.61,8.06,27.27,3.53,96.24,75.59
25.34,60.95,6.5,1022.1,85.71,82.14,48.94,27.89,2.03,32.02,67.95
19.69,46.06,3.07,1028.74,136.53,135.35,34.78,43.31,0.84,158.17,126.34
27.37,80.13,2.86,1017.57,228.14,203.7,68.18,6.69,4.34,70.84,196.91
20.4,30.88,9.45,998.04,212.41,134.53,84.76,13.54,3.15,116.43,162.85
32.75,52.75,3.33,1003.82,36.24,137.97,39.24,21.51,1.9,36.99,57.29
21.08,50.24,7.87,1026.23,27.79,29.03,45.56,43.56,0.35,45.05,54.94
23.39,31.16,4.23,1011.31,149.37,126.42,98.28,47.07,2.78,178.63,124.13
29.07,37.46,1.82,1013.8,135.37,231.81,79.47,49.65,4.63,138.02,168.08
18.85,54.82,0.6,1020.59,70.26,275.4,90.23,48.04,3.06,173.54,134.52
26.14,59.57,5.67,1019.96,225.37,129.91,46.68,2.29,4.86,60.29,172.78
31.54,54.26,9.77,1015.79,232.2,132.84,27.24,4.29,0.85,37.98,169.08
16.96,61.86,4.01,1010.91,103.64,213.76,44.13,9.09,2.93,95.52,110.96
25.92,65.71,3.89,1009.87,223.12,283.4,73.03,18.75,4.03,94.09,218.7
26.3,30.6,3.77,1021.58,99.07,87.45,15.4,41.84,2.72,39.74,106.22
28.91,57.85,5.45,1018.54,185.52,137.64,30.69,44.85,0.64,134.65,170.39
18.82,87.81,4.69,1010.43,121.61,240.83,9.43,10.97,3.0,71.5,143.02
18.4,61.14,8.86,1023.82,35.03,186.81,46.07,31.74,3.14,41.68,90.62
27.61,70.65,5.3,1011.71,232.34,42.07,83.61,46.03,3.7,66.44,185.05
26.48,48.71,5.32,1004.48,116.25,192.04,7.34,24.26,3.85,105.82,148.39
26.25,76.44,1.81,1005.41,184.95,64.16,69.16,6.97,3.9,133.5,124.1
26.73,76.38,9.84,1003.21,94.96,157.96,93.59,23.98,3.38,91.92,108.13
21.6,61.28,2.87,1010.28,9.63,163.44,27.51,20.04,1.24,99.35,77.64
26.16,88.56,1.2,1025.34,29.63,264.1,70.9,29.73,2.14,33.62,94.55
26.47,37.53,6.8,1004.95,126.57,144.12,97.63,23.06,3.93,165.5,148.84
21.43,31.02,6.16,1014.88,174.04,91.04,96.42,2.83,4.78,167.88,146.82
34.33,76.21,4.44,1006.43,87.01,76.98,27.32,49.71,0.58,126.18,83.84
27.37,78.43,4.51,1010.4,175.39,263.53,14.53,28.09,2.77,13.0,174.34
19.04,37.21,7.96,997.9,176.17,59.59,19.09,24.73,1.7,101.3,106.79
28.28,45.93,2.36,1010.79,177.46,133.5,71.69,47.82,1.28,116.97,166.46
20.13,31.05,8.29,1011.06,125.67,64.28,73.95,9.48,2.63,179.09,97.75
28.94,47.6,6.66,1018.4,229.15,234.26,69.05,11.08,3.11,179.33,199.06
30.79,76.39,4.48,1015.23,124.85,147.57,36.93,40.78,0.25,155.79,115.08
20.9,61.08,4.85,1001.02,115.31,111.83,21.13,14.52,3.94,20.85,109.19
29.82,50.89,2.94,1023.84,53.85,114.72,60.17,40.36,4.14,172.06,69.76
27.06,52.3,7.65,1015.1,80.38,257.14,50.95,15.03,4.83,114.15,131.49
29.11,30.08,5.37,1014.98,15.37,170.59,74.24,3.59,1.07,146.15,63.32
34.48,47.99,3.55,1012.91,160.22,218.18,46.93,26.82,3.05,79.22,175.02
23.77,68.79,6.16,1007.82,65.89,270.14,37.17,11.44,2.25,64.34,113.02
21.23,88.45,9.96,1015.18,79.52,271.51,32.88,38.38,1.81,88.75,107.28
20.55,80.82,4.63,1017.76,193.85,105.27,25.09,32.78,2.92,34.97,112.59
20.92,31.42,9.25,995.53,85.17,286.21,30.25,46.33,3.96,70.7,125.01
24.61,83.91,3.78,1007.61,64.34,17.21,14.01,39.58,0.31,155.79,65.18
26.71,76.99,1.02,1010.45,46.42,119.28,37.95,10.68,4.85,16.45,78.45
26.38,76.82,2.44,1015.56,194.84,269.78,8.47,40.41,4.09,35.65,201.72
29.14,57.48,4.48,1024.93,36.78,89.64,22.71,32.8,3.81,31.27,69.28
25.07,53.88,2.59,1005.28,116.17,89.19,75.94,34.11,3.85,78.52,108.11
32.27,48.17,0.5,1008.02,129.2,97.76,35.92,41.95,2.07,179.49,108.29
23.68,33.94,9.19,1007.87,173.41,187.57,68.48,29.54,3.81,39.47,179.18
38.6,43.69,8.52,1004.98,160.15,137.12,73.1,24.37,2.06,34.73,138.8
28.13,44.8,7.55,1009.53,203.63,220.75,60.21,32.56,4.51,165.56,213.53
20.71,59.04,2.09,1020.71,15.96,269.52,96.08,16.3,1.05,159.95,114.93
19.65,74.85,1.64,1002.46,77.63,205.52,7.04,10.76,1.6,15.48,97.56
27.41,58.43,1.14,1017.28,73.63,69.3,75.17,31.6,2.85,137.79,70.54
23.88,33.47,7.38,995.98,40.77,280.48,96.08,13.22,1.73,121.43,111.51
28.57,87.47,9.32,1007.39,75.85,86.7,86.92,5.84,2.24,140.52,100.7
27.37,86.56,4.59,1009.71,80.89,53.47,20.95,2.03,2.56,94.07,62.18
24.64,77.11,1.63,1029.75,132.86,36.09,36.05,31.2,4.31,178.53,86.95
20.77,89.48,5.37,1010.25,167.61,173.38,21.38,19.38,2.71,17.45,152.21
17.43,62.67,3.81,990.99,98.37,42.99,62.12,38.11,1.94,49.84,75.56
22.77,87.77,4.06,993.01,181.27,50.25,72.66,20.01,1.39,77.41,124.11
29.28,34.54,6.4,1013.34,87.36,97.01,35.12,25.33,2.16,86.46,114.12
26.07,51.94,7.33,1019.14,76.12,91.68,56.25,21.54,2.68,166.63,97.32
18.77,43.52,1.55,1016.75,137.59,185.23,70.64,33.23,3.78,105.2,146.94
25.87,41.75,0.84,1014.68,10.81,246.86,45.03,19.09,0.78,17.67,66.49
26.93,38.45,9.95,1024.62,24.55,230.79,86.13,48.26,1.26,79.34,90.42
20.58,67.34,2.71,1007.6,107.4,86.12,78.3,46.94,2.02,80.8,108.06
25.77,76.88,1.01,1021.95,236.01,81.14,11.14,42.71,1.93,174.13,137.31
25.29,64.7,2.3,996.68,181.77,290.08,64.01,46.17,2.08,111.86,227.21
19.29,38.82,0.87,1003.95,26.59,12.39,27.36,23.56,4.01,118.06,35.53
26.79,78.67,4.22,994.93,212.35,265.12,57.96,27.75,1.76,131.25,201.52
27.8,68.16,8.12,1010.25,184.41,67.92,95.9,37.62,2.61,140.91,124.7
30.42,53.29,3.74,1012.54,154.68,284.71,88.51,35.42,3.19,117.96,192.77
30.27,70.45,4.72,1014.14,205.97,109.27,43.43,44.75,1.31,50.32,129.93
18.11,45.59,6.92,1013.62,104.01,137.7,32.69,36.38,3.65,158.59,145.0
20.31,50.71,5.33,1003.72,59.27,215.06,27.27,49.9,2.83,134.46,130.3
27.58,85.05,8.68,1011.1,130.45,180.42,55.59,18.73,2.34,136.12,150.37
27.57,47.43,8.73,998.03,139.47,102.2,15.85,41.98,4.09,179.41,99.07
27.58,58.2,0.59,1026.63,136.89,170.61,57.18,35.49,1.37,146.43,137.24
44.26,83.41,7.89,1009.96,143.44,221.9,5.13,35.19,4.44,150.96,175.04
27.85,72.46,4.88,1008.11,237.43,22.28,35.77,17.64,2.89,171.74,150.87
30.68,33.73,9.89,1028.89,226.05,13.25,25.89,39.71,3.12,35.69,116.63
29.77,38.84,5.09,1000.58,219.55,142.84,97.27,45.22,4.4,94.61,169.96
28.26,30.47,9.88,1001.74,201.35,48.23,74.09,12.49,4.12,108.7,130.94
23.42,67.86,7.67,1002.04,236.14,202.66,38.22,32.02,3.09,65.98,185.82
28.79,56.86,2.86,1012.32,29.13,72.08,13.82,20.82,3.82,152.7,76.04
21.14,38.06,5.61,1017.32,69.96,135.53,54.1,49.5,2.28,139.61,64.34
23.82,87.48,9.93,1020.4,126.29,67.32,25.28,24.98,2.83,132.55,108.09
22.57,61.78,8.65,1038.72,212.4,169.06,55.96,12.96,0.5,179.52,148.86
25.41,44.51,1.42,990.51,128.77,43.66,84.36,20.33,0.63,54.09,75.49
36.57,60.04,7.21,1019.09,188.27,16.7,63.5,33.38,4.18,135.03,92.26
15.66,70.78,3.78,1007.43,39.05,24.83,65.21,5.65,0.49,103.74,29.07
28.43,34.57,0.57,1007.14,66.84,286.73,56.4,30.97,1.01,63.21,153.59
16.94,46.48,4.33,1006.8,184.29,51.26,93.09,46.7,4.02,37.3,135.94
22.64,78.42,2.73,1003.91,45.36,215.46,93.53,42.82,0.21,162.3,84.7
30.44,57.58,8.28,1029.85,91.08,29.7,53.71,5.25,1.56,111.23,82.23
25.32,62.79,3.7,1021.42,69.89,41.37,34.05,49.68,3.0,150.24,83.73
19.61,55.97,8.36,1013.23,90.72,157.57,48.66,35.54,3.06,102.71,112.06
21.42,32.63,0.51,1026.51,178.54,144.81,22.72,9.79,3.93,47.4,178.74
28.4,39.94,3.42,997.87,95.12,285.96,65.45,2.6,2.63,67.38,161.58
21.35,56.73,2.79,999.69,141.04,284.0,52.51,10.22,2.65,74.86,181.15
26.08,42.55,2.72,991.22,29.48,236.09,14.81,42.23,3.68,175.4,91.66
25.23,33.0,1.15,1006.01,202.23,184.61,23.78,3.04,2.59,10.96,176.44
21.74,80.62,2.28,1014.62,95.62,141.94,50.57,13.19,3.12,177.56,112.27
35.72,88.87,5.78,1014.03,163.89,113.29,89.32,38.35,4.51,176.68,151.64
28.17,77.59,3.27,1014.49,182.72,284.66,58.81,30.13,2.13,179.35,183.84
14.87,81.23,4.47,998.89,56.37,184.84,69.75,39.57,2.05,91.02,102.48
25.93,44.52,4.08,1021.03,221.75,177.93,37.21,37.82,0.22,173.85,161.74
21.69,87.64,8.82,1015.4,155.97,77.25,59.28,4.43,3.14,77.25,86.08
29.26,41.82,9.1,1020.33,110.04,23.54,47.5,44.84,0.34,14.47,85.37
21.04,87.09,5.18,994.07,49.67,284.1,67.62,12.9,2.62,48.14,103.76
24.43,89.69,3.64,1016.11,235.86,100.98,9.8,28.56,4.06,170.7,167.84
27.52,72.7,1.51,1001.12,189.99,138.35,51.86,32.93,2.84,12.34,157.09
29.33,88.87,9.56,1009.03,55.97,43.25,33.12,10.09,1.49,102.82,56.21
19.0,64.17,1.07,1018.34,87.74,252.71,35.99,48.86,3.97,22.85,133.86
23.33,45.57,3.33,1013.91,203.37,18.01,96.29,25.43,1.49,58.69,127.72
22.63,56.22,3.33,1004.48,175.44,251.86,22.36,4.77,3.72,24.98,184.47
21.73,65.61,3.54,1013.06,192.62,50.68,34.57,46.99,3.13,156.12,140.85
33.83,34.38,2.06,997.68,113.09,267.1,53.44,30.14,1.02,110.48,174.79
27.02,67.34,7.94,1024.5,180.54,221.63,86.99,35.56,4.54,163.36,187.65
18.7,88.87,1.66,1010.95,99.69,57.75,44.58,27.21,1.16,127.02,79.98
29.59,41.41,6.53,1024.19,56.76,174.09,75.67,42.07,4.95,175.07,95.03
35.61,77.56,1.68,1007.73,160.01,100.67,86.36,3.59,0.24,96.68,128.2
30.16,84.47,1.17,1007.76,244.12,61.69,34.45,14.88,1.46,118.58,161.53
17.4,86.62,9.14,1005.36,81.1,259.16,42.31,24.54,1.16,107.97,126.51
22.58,87.61,2.31,1021.76,117.94,127.02,38.87,5.68,0.27,92.32,112.06
31.33,61.29,8.3,1005.91,170.13,125.58,84.12,35.88,3.72,153.81,142.78
21.46,88.64,5.67,1019.45,137.67,59.27,9.21,20.9,3.53,119.57,111.62
27.22,75.44,1.24,1009.18,211.64,121.09,34.3,15.09,4.0,146.22,174.95
28.87,39.7,9.58,993.24,191.63,262.77,69.54,2.16,1.43,143.68,202.36
20.37,58.61,2.85,1007.3,19.28,115.31,58.72,36.55,2.33,42.48,61.55
24.7,73.1,8.67,1001.21,249.61,285.97,46.45,42.02,3.36,120.53,214.24
8.79,44.84,2.1,1013.34,189.34,284.43,56.3,20.96,2.31,43.94,185.31
19.88,68.44,8.61,1001.1,216.66,52.02,23.77,29.08,3.55,109.16,149.52
23.74,70.0,0.63,1022.26,164.54,61.42,45.92,12.93,3.24,125.16,154.9
18.76,39.76,5.36,1012.09,214.79,260.18,52.66,31.87,0.75,179.53,193.04
33.16,63.91,7.81,1011.22,32.53,123.9,90.61,2.58,3.95,15.19,81.62
17.85,76.3,9.38,1019.56,90.2,11.27,29.78,25.45,3.66,25.51,55.88
22.8,59.93,9.14,1022.64,219.72,89.42,87.44,32.92,3.35,23.09,142.98
25.65,30.73,8.29,1012.8,54.41,183.31,66.2,46.07,0.94,77.72,85.36
32.21,30.54,8.94,1005.29,24.17,241.79,6.93,20.3,1.49,149.67,62.54
17.82,51.42,2.39,995.26,198.09,48.68,73.84,38.73,2.09,153.49,152.6
30.82,85.57,3.2,1006.14,209.69,42.06,8.38,30.69,1.54,135.29,93.72
25.05,43.72,3.25,1006.83,44.85,277.41,99.75,46.5,1.29,162.47,121.12
20.09,68.06,4.08,1014.07,214.31,227.83,87.9,21.12,4.07,64.89,181.18
27.31,43.32,4.24,1009.55,173.26,181.04,33.25,17.32,3.26,24.99,142.16
26.0,49.3,5.67,1019.88,132.42,233.06,29.45,44.58,2.91,19.89,171.09
22.0,80.88,2.02,1006.87,208.41,134.37,41.24,4.36,1.28,154.86,158.82
25.35,73.73,7.07,1012.43,107.72,229.95,38.84,8.55,4.61,134.17,129.18
23.07,35.72,2.09,1024.84,52.53,117.82,40.37,5.96,1.12,128.76,63.03
25.57,55.72,3.45,1016.42,74.79,80.79,35.24,42.47,4.02,67.74,69.2
28.31,31.75,5.28,1012.4,128.77,221.41,64.01,2.51,4.84,74.58,152.69
32.93,58.85,8.07,1006.98,135.18,131.7,20.61,43.36,3.69,172.88,128.45
18.81,69.75,7.52,1006.67,202.37,294.6,85.37,23.66,4.97,20.85,243.03
35.67,37.11,6.63,1004.49,198.88,111.35,82.18,2.19,3.33,141.53,125.23
15.24,47.33,1.98,1007.59,147.43,277.3,50.27,21.28,1.24,62.64,167.46
24.24,53.87,5.7,1020.56,196.29,280.56,86.01,10.97,1.18,16.64,190.6
27.94,85.17,1.33,1010.78,51.98,80.14,28.48,31.97,1.76,136.24,76.68
26.4,89.6,4.08,999.5,17.27,241.48,6.67,34.61,0.23,66.26,90.83
21.89,32.69,4.43,1030.68,219.04,135.59,63.82,25.4,3.47,132.77,179.78
23.96,75.66,0.88,1016.2,23.51,276.08,48.5,3.94,1.49,130.3,111.88
22.53,52.3,3.1,998.93,65.44,140.54,58.88,33.49,4.11,100.91,82.82
22.05,53.55,9.58,1008.58,175.35,225.85,90.44,42.42,1.92,142.15,193.38
29.25,75.26,9.56,1014.11,105.31,145.42,97.14,36.58,2.5,108.78,129.49
26.79,85.11,3.85,1030.05,219.7,76.06,65.27,41.84,4.84,58.73,170.7
21.54,87.06,0.91,1001.92,78.01,67.81,77.59,11.62,1.36,134.8,93.43
29.5,64.63,2.2,1022.76,7.91,133.38,12.96,44.67,3.66,110.15,66.95
26.54,51.43,4.23,1026.99,78.66,229.09,20.27,17.47,3.82,12.16,144.89
29.06,77.25,9.5,1006.71,146.63,185.47,74.65,2.64,1.26,163.28,149.27
28.15,45.06,1.84,1010.22,97.1,209.7,45.98,42.48,2.6,102.76,124.77
20.86,63.84,7.75,1002.64,136.04,91.87,47.37,47.21,1.88,157.67,111.38
22.2,51.51,1.53,1010.97,219.77,149.62,34.32,33.47,3.91,160.07,174.43
28.74,69.4,9.82,1012.63,228.56,22.87,62.7,13.11,3.19,85.64,131.55
28.05,44.42,4.13,1019.6,70.16,247.08,22.59,14.08,2.48,96.3,146.03
24.9,41.5,7.86,1023.9,118.22,297.07,64.56,24.4,3.94,80.68,173.79
25.59,85.09,3.75,1005.52,139.54,127.99,21.51,45.1,1.33,86.4,119.71
31.39,36.11,6.46,993.33,237.53,13.18,11.06,9.18,3.82,162.18,144.81
22.04,60.36,2.32,1012.79,249.66,59.24,36.38,41.65,4.35,143.98,208.96
27.74,43.25,1.89,1015.94,62.67,199.23,26.96,15.98,4.42,31.51,91.51
